#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
464,2023071605003145,SIGS2,34,57,"6,235",8.85,"55,179.75"
465,2023071605003066,SIGS2,4,57,100,8.85,885.00
466,2023071605003154,SLCF,47,44,200,8.92,"1,784.00"
467,2023071605003028,SLCF,25,17,100,8.75,875.00
468,2023071605003012,SLCF,25,35,"10,000",8.67,"86,700.00"
469,2023071605003011,SLCF,25,29,"22,507",8.67,"195,135.69"
470,2023071605003010,SLCF,25,17,"10,000",8.59,"85,900.00"
471,2023071605003009,SLCF,25,7,100,8.58,858.00
472,2023071605003008,SLCF,25,17,"1,100",8.58,"9,438.00"
473,2023071605003007,SLCF,25,45,100,8.50,850.00
474,2023071605003006,SLCF,25,42,100,8.40,840.00
475,2023071605003005,SLCF,25,45,200,8.40,"1,680.00"
476,2023071605003004,SLCF,25,25,"4,900",8.40,"41,160.00"
477,2023071605003003,SLCF,25,32,"4,900",8.20,"40,180.00"
478,2023071605003138,SMATA,36,55,27,702.70,"18,972.90"
479,2023071605003137,SMATA,36,36,10,700.00,"7,000.00"
480,2023071605003136,SMATA,36,52,70,700.00,"49,000.00"
481,2023071605003135,SMATA,36,5,15,698.00,"10,470.00"
482,2023071605003134,SMATA,36,43,40,697.00,"27,880.00"
483,2023071605003133,SMATA,36,32,38,695.00,"26,410.00"
484,2023071605003132,SMATA,36,1,100,694.10,"69,410.00"
485,2023071605003072,SMATA,36,32,28,695.00,"19,460.00"
486,2023071605003071,SMATA,36,41,10,690.00,"6,900.00"
487,2023071605003070,SMATA,36,14,100,689.00,"68,900.00"
488,2023071605003069,SMATA,36,19,12,689.00,"8,268.00"
489,2023071605003068,SMATA,36,54,100,686.00,"68,600.00"
490,2023071605003204,STC,6,49,10,"4,899.00","48,990.00"
491,2023071605003174,STC,4,17,10,"4,850.00","48,500.00"
492,2023071605003131,STC,4,49,10,"4,899.00","48,990.00"
493,2023071605003000,STC,54,19,10,"4,900.00","49,000.00"
494,2023071605002999,STC,54,49,20,"4,898.00","97,960.00"
495,2023071605002984,STC,46,44,92,"4,841.10","445,381.20"
